Reading_ID,Battery_ID,Timestamp,Voltage_V,Current_A,Temperature_C,SOC_Percentage,Cycle_Count
R-000001,B-015,2026-03-26 19:44:37,2.72,-80.33,29.09,86.53,106
R-000002,B-011,2026-03-26 19:44:37,2.46,-35.35,42.9,30.97,77
R-000003,B-014,2026-03-26 19:44:37,3.95,-57.67,27.57,72.74,152
R-000004,B-009,2026-03-26 19:44:37,4.11,-58.99,36.08,87.17,104
R-000005,B-019,2026-03-26 19:44:37,3.68,73.23,30.21,34.16,32
R-000006,B-001,2026-03-26 19:44:37,3.21,-28.32,28.2,43.61,190
R-000007,B-002,2026-03-26 19:44:37,3.55,118.3,26.8,27.91,53
R-000008,B-018,2026-03-26 19:44:37,2.48,145.7,43.35,29.6,103
R-000009,B-004,2026-03-26 19:45:37,2.84,127.37,27.68,90.2,145
R-000010,B-014,2026-03-26 19:45:37,3.93,-62.12,26.5,72.2,152
R-000011,B-022,2026-03-26 19:45:37,3.37,-26.64,31.13,61.7,129
R-000012,B-019,2026-03-26 19:45:37,3.69,59.59,35.39,35.43,32
R-000013,B-011,2026-03-26 19:46:37,2.48,-37.79,32.58,30.34,77
R-000014,B-006,2026-03-26 19:46:37,2.37,-73.88,37.47,20.94,109
R-000015,B-009,2026-03-26 19:46:37,4.12,-45.49,29.44,86.93,104
R-000016,B-005,2026-03-26 19:46:37,3.11,122.05,29.85,20.35,199
R-000017,B-012,2026-03-26 19:46:37,3.65,148.97,36.08,31.13,174
R-000018,B-013,2026-03-26 19:47:37,3.11,-17.73,41.33,25.77,191
R-000019,B-016,2026-03-26 19:47:37,2.57,-76.2,40.15,57.13,168
R-000020,B-017,2026-03-26 19:47:37,3.02,-42.47,31.26,19.84,169
R-000021,B-022,2026-03-26 19:47:37,3.35,-12.26,29.38,61.32,129
R-000022,B-024,2026-03-26 19:47:37,2.41,-37.99,30.36,20.62,59
R-000023,B-001,2026-03-26 19:47:37,3.19,-23.34,44.83,42.91,190
R-000024,B-007,2026-03-26 19:47:37,3.67,-35.26,34.27,31.9,37
R-000025,B-011,2026-03-26 19:47:37,2.49,-48.1,40.78,29.72,77
R-000026,B-010,2026-03-26 19:47:37,2.71,111.44,34.32,75.5,45
R-000027,B-021,2026-03-26 19:47:37,3.52,-19.54,43.37,76.61,25
R-000028,B-012,2026-03-26 19:47:37,3.66,81.0,30.77,31.58,174
R-000029,B-014,2026-03-26 19:47:37,3.97,-96.35,31.07,71.5,152
R-000030,B-004,2026-03-26 19:47:37,2.85,53.81,29.9,90.76,145
R-000031,B-020,2026-03-26 19:47:37,2.71,-99.19,36.94,79.52,88
R-000032,B-002,2026-03-26 19:47:37,3.61,106.34,30.96,28.25,53
R-000033,B-015,2026-03-26 19:48:37,2.81,-45.53,37.77,86.03,106
R-000034,B-025,2026-03-26 19:48:37,2.45,-75.64,25.88,32.62,123
R-000035,B-008,2026-03-26 19:48:37,3.69,-57.4,44.4,40.54,29
R-000036,B-009,2026-03-26 19:48:37,4.05,-77.38,36.39,86.11,104
R-000037,B-023,2026-03-26 19:48:37,3.94,-48.87,30.84,68.35,136
R-000038,B-019,2026-03-26 19:48:37,3.68,122.6,30.08,36.08,32
R-000039,B-010,2026-03-26 19:48:37,2.74,58.21,30.56,75.84,45
R-000040,B-003,2026-03-26 19:48:37,3.32,-69.55,36.72,56.54,48
